filename;file_size;file_attributes;region_count;region_id;region_shape_attributes;region_attributes
D20201113T153715_200.png;2022253;{};1;1;{"name": "roi", "left_rois": [[182, 434, 491, 140]], "right_rois": [[233, 434, 491, 140]]};{"region": "body"}
D20201113T153715_246.png;1943859;{};1;1;{"name": "roi", "left_rois": [[369, 396, 397, 170]], "right_rois": [[443, 396, 397, 170]]};{"region": "body"}
D20201113T153715_292.png;1929060;{};1;1;{"name": "roi", "left_rois": [[534, 234, 401, 116]], "right_rois": [[565, 234, 401, 116]]};{"region": "body"}
D20201113T153715_338.png;1936747;{};1;1;{"name": "roi", "left_rois": [[526, 207, 408, 111], [101, 145, 299, 139], [262, 387, 444, 127]], "right_rois": [[565, 207, 408, 111], [109, 145, 299, 139], [302, 387, 444, 127]]};{"region": "body"}
D20201113T153715_384.png;2008888;{};1;1;{"name": "roi", "left_rois": [[541, 172, 406, 125], [266, 372, 424, 123]], "right_rois": [[575, 172, 406, 125], [324, 372, 424, 123]]};{"region": "body"}
D20201113T153715_430.png;1956168;{};1;1;{"name": "roi", "left_rois": [[541, 180, 415, 116], [270, 384, 424, 123]], "right_rois": [[584, 180, 415, 116], [322, 384, 424, 123]]};{"region": "body"}
D20201113T153715_476.png;1996849;{};1;1;{"name": "roi", "left_rois": [[555, 188, 416, 123], [275, 389, 424, 123], [7, 236, 393, 97]], "right_rois": [[584, 188, 416, 123], [341, 389, 424, 123], [28, 236, 393, 97]]};{"region": "body"}
D20201113T153715_522.png;2003232;{};1;1;{"name": "roi", "left_rois": [[549, 175, 426, 123], [283, 374, 452, 131], [-1, 238, 365, 96]], "right_rois": [[584, 175, 426, 123], [344, 374, 452, 131], [28, 238, 365, 96]]};{"region": "body"}
D20201113T153715_568.png;2015523;{};1;1;{"name": "roi", "left_rois": [[559, 173, 423, 117], [276, 360, 452, 131], [-6, 249, 373, 96]], "right_rois": [[603, 173, 423, 117], [344, 360, 452, 131], [0, 249, 373, 96]]};{"region": "body"}
D20201113T153715_614.png;2012182;{};1;1;{"name": "roi", "left_rois": [[549, 193, 409, 145], [276, 373, 452, 131]], "right_rois": [[579, 193, 409, 145], [344, 373, 452, 131]]};{"region": "body"}
D20201113T153715_660.png;1836108;{};1;1;{"name": "roi", "left_rois": [[547, 193, 414, 127], [60, 146, 312, 131]], "right_rois": [[579, 193, 414, 127], [60, 146, 312, 131]]};{"region": "body"}
D20201113T153715_706.png;2002190;{};1;1;{"name": "roi", "left_rois": [[556, 198, 419, 120], [60, 146, 328, 137]], "right_rois": [[579, 198, 419, 120], [60, 146, 328, 137]]};{"region": "body"}
D20201113T153715_752.png;1959934;{};1;1;{"name": "roi", "left_rois": [[244, 245, 596, 214]], "right_rois": [[336, 245, 596, 214]]};{"region": "body"}
D20201113T153715_798.png;1994366;{};1;1;{"name": "roi", "left_rois": [[192, 419, 496, 142]], "right_rois": [[249, 419, 496, 142]]};{"region": "body"}
D20201113T153715_844.png;1965164;{};1;1;{"name": "roi", "left_rois": [[334, 241, 500, 223]], "right_rois": [[441, 241, 500, 223]]};{"region": "body"}
D20201113T153715_890.png;2022034;{};1;1;{"name": "roi", "left_rois": [[357, 268, 561, 226]], "right_rois": [[470, 268, 561, 226]]};{"region": "body"}
D20201113T153715_936.png;1945532;{};1;1;{"name": "roi", "left_rois": [[408, 268, 603, 179]], "right_rois": [[502, 268, 603, 179]]};{"region": "body"}
D20201113T153715_982.png;1963416;{};1;1;{"name": "roi", "left_rois": [[542, 267, 548, 162], [86, 444, 455, 168]], "right_rois": [[617, 267, 548, 162], [145, 444, 455, 168]]};{"region": "body"}
D20201113T153715_1028.png;1965549;{};1;1;{"name": "roi", "left_rois": [[689, 280, 433, 156], [86, 433, 466, 160], [172, 235, 400, 117]], "right_rois": [[750, 280, 433, 156], [136, 433, 466, 160], [215, 235, 400, 117]]};{"region": "body"}
D20201113T153715_1074.png;2033676;{};1;1;{"name": "roi", "left_rois": [[756, 329, 286, 174], [88, 421, 451, 135], [169, 226, 390, 113]], "right_rois": [[812, 329, 286, 174], [134, 421, 451, 135], [220, 226, 390, 113]]};{"region": "body"}
D20201113T153715_1120.png;2038004;{};1;1;{"name": "roi", "left_rois": [[756, 205, 382, 145], [90, 397, 434, 128], [167, 240, 384, 108]], "right_rois": [[791, 205, 382, 145], [134, 397, 434, 128], [205, 240, 384, 108]]};{"region": "body"}
D20201113T153715_1166.png;2026273;{};1;1;{"name": "roi", "left_rois": [[83, 370, 426, 136], [189, 250, 367, 104]], "right_rois": [[128, 370, 426, 136], [217, 250, 367, 104]]};{"region": "body"}
D20201113T153715_1212.png;1963834;{};1;1;{"name": "roi", "left_rois": [[88, 358, 419, 115], [189, 248, 367, 104], [741, 193, 418, 137]], "right_rois": [[129, 358, 419, 115], [240, 248, 367, 104], [774, 193, 418, 137]]};{"region": "body"}
D20201113T153715_1258.png;1954451;{};1;1;{"name": "roi", "left_rois": [[199, 258, 376, 103], [736, 193, 418, 137]], "right_rois": [[240, 258, 376, 103], [783, 193, 418, 137]]};{"region": "body"}
D20201113T153715_1304.png;1954197;{};1;1;{"name": "roi", "left_rois": [[33, 156, 288, 168]], "right_rois": [[55, 156, 288, 168]]};{"region": "body"}
D20201113T153715_1350.png;1956005;{};1;1;{"name": "roi", "left_rois": [[181, 348, 455, 134]], "right_rois": [[231, 348, 455, 134]]};{"region": "body"}
D20201113T153715_1396.png;1963825;{};1;1;{"name": "roi", "left_rois": [[214, 260, 389, 110]], "right_rois": [[259, 260, 389, 110]]};{"region": "body"}
D20201113T153715_1442.png;2028412;{};1;1;{"name": "roi", "left_rois": [[231, 239, 396, 108], [214, 353, 450, 125]], "right_rois": [[272, 239, 396, 108], [272, 353, 450, 125]]};{"region": "body"}
D20201113T153715_1488.png;2016474;{};1;1;{"name": "roi", "left_rois": [[258, 249, 388, 104], [225, 375, 453, 123]], "right_rois": [[295, 249, 388, 104], [272, 375, 453, 123]]};{"region": "body"}
D20201113T153715_1534.png;1928605;{};1;1;{"name": "roi", "left_rois": [[250, 280, 386, 104], [201, 390, 474, 120]], "right_rois": [[295, 280, 386, 104], [246, 390, 474, 120]]};{"region": "body"}
D20201113T153715_1580.png;2005359;{};1;1;{"name": "roi", "left_rois": [[194, 391, 478, 119]], "right_rois": [[246, 391, 478, 119]]};{"region": "body"}
D20201113T153715_1626.png;2009297;{};1;1;{"name": "roi", "left_rois": [[256, 287, 398, 106]], "right_rois": [[303, 287, 398, 106]]};{"region": "body"}
D20201113T153715_1672.png;1925318;{};1;1;{"name": "roi", "left_rois": [[276, 272, 388, 113], [211, 401, 455, 153]], "right_rois": [[314, 272, 388, 113], [266, 401, 455, 153]]};{"region": "body"}
D20201113T153715_1718.png;1943764;{};1;1;{"name": "roi", "left_rois": [[256, 271, 383, 110], [207, 407, 457, 136]], "right_rois": [[304, 271, 383, 110], [266, 407, 457, 136]]};{"region": "body"}
D20201113T153715_1764.png;2017057;{};1;1;{"name": "roi", "left_rois": [[247, 282, 392, 109], [217, 406, 451, 138]], "right_rois": [[284, 282, 392, 109], [280, 406, 451, 138]]};{"region": "body"}
D20201113T153715_1810.png;1957231;{};1;1;{"name": "roi", "left_rois": [[203, 187, 382, 117], [228, 400, 454, 132]], "right_rois": [[220, 187, 382, 117], [280, 400, 454, 132]]};{"region": "body"}
D20201113T153715_1856.png;2007963;{};1;1;{"name": "roi", "left_rois": [[398, 248, 613, 169], [230, 427, 449, 133]], "right_rois": [[483, 248, 613, 169], [288, 427, 449, 133]]};{"region": "body"}
D20201113T153715_1902.png;1985932;{};1;1;{"name": "roi", "left_rois": [[411, 247, 507, 166], [211, 427, 447, 136]], "right_rois": [[503, 247, 507, 166], [274, 427, 447, 136]]};{"region": "body"}
D20201113T153715_1948.png;1939778;{};1;1;{"name": "roi", "left_rois": [[196, 424, 472, 128]], "right_rois": [[257, 424, 472, 128]]};{"region": "body"}
D20201113T153715_1994.png;1995428;{};1;1;{"name": "roi", "left_rois": [[202, 409, 457, 125], [200, 206, 389, 125]], "right_rois": [[269, 409, 457, 125], [226, 206, 389, 125]]};{"region": "body"}
D20201113T153715_2040.png;1838598;{};1;1;{"name": "roi", "left_rois": [[213, 393, 462, 130], [394, 266, 390, 106]], "right_rois": [[269, 393, 462, 130], [438, 266, 390, 106]]};{"region": "body"}
